Team,SP+
Georgia,34.2
Ohio State,30.8
Oregon,29
Alabama,27.8
Texas,27.7
Penn State,26.1
Michigan,25
Ole Miss,24.7
Notre Dame,23.4
LSU,23.1
Missouri,22.2
Florida State,19.9
Oklahoma,19.8
Texas A&M,19.2
Tennessee,19.2
Clemson,18.8
Kansas State,16.4
Utah,15.8
Miami,15.5
Oklahoma State,14
USC,13.9
Kentucky,13.8
Florida,13.2
Iowa,13.2
Auburn,13.1
Wisconsin,12.9
SMU,12.7
Arizona,12.4
NC State,12.1
Iowa State,11.5
Louisville,11.3
Washington,10.3
Kansas,9.7
West Virginia,9.7
South Carolina,9.5
Virginia Tech,9.4
UCLA,8.8
TCU,8.7
Boise State,7.9
North Carolina,7.9
Texas Tech,7.4
Nebraska,7.4
Memphis,6.1
Arkansas,6.1
UCF,5.9
Maryland,5.2
Minnesota,4.2
Liberty,3.9
Rutgers,3.5
Oregon State,3.2
Duke,3.1
California,2.8
Baylor,2.2
UTSA,1.2
Mississippi State,1.1
James Madison,0.7
Washington State,0.6
Georgia Tech,0.6
App State,0.5
Colorado,0.3
Illinois,0.1
Cincinnati,-0.1
Fresno State,-0.1
Troy,-0.7
Tulane,-0.8
Pittsburgh,-0.8
Syracuse,-1
Purdue,-1.4
BYU,-1.5
Western Kentucky,-1.6
Michigan State,-2.4
Louisiana,-2.4
Boston College,-2.4
Wake Forest,-2.6
Northwestern,-2.8
Houston,-3.3
Stanford,-3.5
Virginia,-3.5
Arizona State,-4
Miami (OH),-4
Indiana,-4.5
UNLV,-5.2
South Florida,-5.6
South Alabama,-6.4
Coastal Carolina,-6.5
Texas State,-6.5
Toledo,-7
Air Force,-7.1
Vanderbilt,-7.3
Wyoming,-8
San Diego State,-8.9
Rice,-9
Arkansas State,-9.1
East Carolina,-9.5
Marshall,-9.9
Jacksonville State,-9.9
Georgia Southern,-10.3
Northern Illinois,-10.6
UAB,-10.6
Colorado State,-10.6
San José State,-11
Utah State,-11.1
Army,-11.1
Bowling Green,-11.2
North Texas,-11.3
Georgia State,-11.3
Ohio,-12
Florida Atlantic,-12.2
Hawai'i,-12.6
Western Michigan,-12.9
Old Dominion,-13.1
Tulsa,-13.2
Navy,-13.3
Middle Tennessee,-13.4
Sam Houston,-14.2
New Mexico State,-15.5
Central Michigan,-15.9
Eastern Michigan,-15.9
Southern Miss,-16.1
Louisiana Tech,-16.7
Nevada,-16.7
Ball State,-16.9
Buffalo,-17
UTEP,-17.8
UConn,-17.9
Charlotte,-18.1
Florida International,-19
Massachusetts,-20.1
New Mexico,-20.6
Kent State,-20.9
Kennesaw State,-20.9
Temple,-21.9
Akron,-22.2
UL Monroe,-23.4
FCS,-20.3
