index,home,visitor,is_neutral_site
707,Air Force,Oregon State,false
674,Air Force,Fresno State,false
518,Air Force,Colorado State,false
368,Air Force,Navy,false
154,Air Force,San José State,false
50,Air Force,FCS,false
797,Akron,Toledo,false
593,Akron,Buffalo,false
546,Akron,Eastern Michigan,false
381,Akron,Bowling Green,false
215,Akron,FCS,false
842,Alabama,Auburn,false
698,Alabama,FCS,false
558,Alabama,Missouri,false
424,Alabama,South Carolina,false
349,Alabama,Georgia,false
149,Alabama,South Florida,false
71,Alabama,Western Kentucky,false
757,App State,James Madison,false
601,App State,Old Dominion,false
540,App State,Georgia State,false
327,App State,Liberty,false
241,App State,South Alabama,false
54,App State,FCS,false
843,Arizona,Arizona State,false
687,Arizona,Houston,false
565,Arizona,West Virginia,false
502,Arizona,Colorado,false
409,Arizona,Texas Tech,false
171,Arizona,FCS,false
95,Arizona,New Mexico,false
868,Arizona State,Iowa State,true
765,Arizona State,BYU,false
663,Arizona State,UCF,false
417,Arizona State,Utah,false
407,Arizona State,Kansas,false
175,Arizona State,Mississippi State,false
96,Arizona State,Wyoming,false
777,Arkansas,Louisiana Tech,false
694,Arkansas,Texas,false
595,Arkansas,Ole Miss,false
510,Arkansas,LSU,false
399,Arkansas,Tennessee,false
207,Arkansas,UAB,false
12,Arkansas,FCS,true
832,Arkansas State,Old Dominion,false
762,Arkansas State,UL Monroe,false
564,Arkansas State,Troy,false
393,Arkansas State,South Alabama,false
153,Arkansas State,Tulsa,false
68,Arkansas State,FCS,false
873,Army,Navy,true
865,Army,Tulane,false
820,Army,UTSA,false
589,Army,Air Force,false
482,Army,East Carolina,false
423,Army,UAB,false
248,Army,Rice,false
25,Army,FCS,false
788,Auburn,Texas A&M,false
695,Auburn,UL Monroe,false
599,Auburn,Vanderbilt,false
328,Auburn,Oklahoma,false
266,Auburn,Arkansas,false
233,Auburn,New Mexico,false
132,Auburn,California,false
80,Auburn,FCS,false
861,BYU,Houston,false
730,BYU,Kansas,false
471,BYU,Oklahoma State,false
442,BYU,Arizona,false
303,BYU,Kansas State,false
90,BYU,FCS,false
754,Ball State,Bowling Green,false
628,Ball State,Miami (OH),false
544,Ball State,Northern Illinois,false
378,Ball State,Western Michigan,false
116,Ball State,FCS,false
816,Baylor,Kansas,false
625,Baylor,TCU,false
553,Baylor,Oklahoma State,false
314,Baylor,BYU,false
228,Baylor,Air Force,false
70,Baylor,FCS,false
866,Boise State,UNLV,false
805,Boise State,Oregon State,false
671,Boise State,Nevada,false
586,Boise State,San Diego State,false
398,Boise State,Utah State,false
358,Boise State,Washington State,false
302,Boise State,FCS,false
831,Boston College,Pittsburgh,false
748,Boston College,North Carolina,false
640,Boston College,Syracuse,false
527,Boston College,Louisville,false
318,Boston College,Western Kentucky,false
298,Boston College,Michigan State,false
128,Boston College,FCS,false
803,Bowling Green,Miami (OH),false
677,Bowling Green,Western Michigan,false
486,Bowling Green,Kent State,false
428,Bowling Green,Northern Illinois,false
340,Bowling Green,Old Dominion,false
5,Bowling Green,FCS,false
798,Buffalo,Kent State,false
679,Buffalo,Ball State,false
487,Buffalo,Western Michigan,false
422,Buffalo,Toledo,false
