home,visitor,is_neutral_site
Georgia Tech,Florida State,true
New Mexico,Montana State,false
Nevada,SMU,false
Hawai'i,Delaware State,false
Rutgers,Howard,false
Bowling Green,Fordham,false
Wake Forest,North Carolina A&T,false
NC State,Western Carolina,false
UCF,New Hampshire,false
Central Michigan,Central Connecticut,false
Buffalo,Lafayette,false
UL Monroe,Jackson State,false
Arkansas,Arkansas-Pine Bluff,true
Toledo,Duquesne,false
Tulane,SE Louisiana,false
Missouri,Murray State,false
Kansas,Lindenwood,true
UAB,Alcorn State,false
Tulsa,Northwestern State,false
Jacksonville State,Coastal Carolina,false
Colorado,North Dakota State,false
Minnesota,North Carolina,false
Illinois,Eastern Illinois,false
Utah,Southern Utah,false
San José State,Sacramento State,false
Army,Lehigh,false
Michigan State,Florida Atlantic,false
Oklahoma,Temple,false
Duke,Elon,false
Wisconsin,Western Michigan,false
Stanford,TCU,false
Utah State,Robert Morris,false
Georgia,Clemson,true
Pittsburgh,Kent State,false
Purdue,Indiana State,false
Navy,Bucknell,false
Vanderbilt,Virginia Tech,false
Iowa,Illinois State,false
Maryland,UConn,false
Louisville,Austin Peay,false
West Virginia,Penn State,false
Tennessee,Chattanooga,false
Oklahoma State,South Dakota State,false
Cincinnati,Towson,false
Washington State,Portland State,false
Texas,Colorado State,false
Florida,Miami,false
Syracuse,Ohio,false
Northwestern,Miami (OH),true
UTSA,Kennesaw State,false
Air Force,Merrimack,false
Iowa State,North Dakota,false
Northern Illinois,Western Illinois,false
Nebraska,UTEP,false
App State,East Tennessee State,false
Indiana,Florida International,false
Ohio State,Akron,false
Massachusetts,Eastern Michigan,false
Georgia Southern,Boise State,false
South Carolina,Old Dominion,false
California,UC Davis,false
Marshall,Stony Brook,false
South Alabama,North Texas,false
Virginia,Richmond,false
East Carolina,Norfolk State,false
Mississippi State,Eastern Kentucky,false
Liberty,Campbell,false
Oregon State,Idaho State,false
Arkansas State,Central Arkansas,false
Memphis,North Alabama,false
Baylor,Tarleton State,false
Alabama,Western Kentucky,false
Houston,UNLV,false
Rice,Sam Houston,false
Troy,Nevada,false
Kansas State,UT Martin,false
South Florida,Bethune-Cookman,false
Middle Tennessee,Tennessee Tech,false
Ole Miss,Furman,false
Hawai'i,UCLA,false
Auburn,Alabama A&M,false
Texas Tech,Abilene Christian,false
Oregon,Idaho,false
Michigan,Fresno State,false
Texas A&M,Notre Dame,false
Kentucky,Southern Miss,false
SMU,Houston Christian,false
Louisiana Tech,Nicholls,false
Texas State,Lamar,false
Louisiana,Grambling,false
BYU,Southern Illinois,false
Charlotte,James Madison,false
Georgia Tech,Georgia State,false
San Diego State,East Texas A&M,false
New Mexico State,Southeast Missouri State,false
